month,SDII
2006-12,0.9908926563878213
2007-01,1.9223247651130921
2007-02,2.170654296875
2007-03,3.1989408923733618
2007-04,0.4679441769917806
2007-05,2.2547513900264615
2007-06,3.332897440592448
2007-07,1.7230741439327117
2007-08,3.466765865202873
2007-09,4.561800130208334
2007-10,4.3889932940083165
2007-11,2.042641194661458
2007-12,2.3749835106634323
2008-01,0.6120455341954385
2008-02,0.4895082013360385
2008-03,3.7952563378118698
2008-04,2.0268460591634114
2008-05,1.4730270139632686
2008-06,4.486314392089843
2008-07,3.0187616655903478
2008-08,2.6630241640152468
2008-09,2.6165781656901044
2008-10,2.06428958523658
2008-11,2.302424112955729
2008-12,2.9855137486611643
2009-01,3.59094730500252
2009-02,2.0694242204938615
2009-03,2.202633765435988
2009-04,2.2456349690755206
2009-05,1.8476593263687626
