valid_time,depthBelowLandLayer,latitude,longitude,number,surface,t2m
2007-03-31,2,2,2,2,2,2
2007-04-30,0,0,0,0,0,0
2007-05-31,0,0,0,0,0,0
2007-06-30,0,0,0,0,0,0
2007-07-31,0,0,0,0,0,0
2007-08-31,0,0,0,0,0,0
2007-09-30,0,0,0,0,0,0
2007-10-31,0,0,0,0,0,0
2007-11-30,15,15,15,15,15,15
2007-12-31,27,27,27,27,27,27
2008-01-31,23,23,23,23,23,23
2008-02-29,18,18,18,18,18,18
2008-03-31,8,8,8,8,8,8
2008-04-30,0,0,0,0,0,0
2008-05-31,0,0,0,0,0,0
2008-06-30,0,0,0,0,0,0
2008-07-31,0,0,0,0,0,0
2008-08-31,0,0,0,0,0,0
2008-09-30,0,0,0,0,0,0
2008-10-31,0,0,0,0,0,0
2008-11-30,11,11,11,11,11,11
2008-12-31,16,16,16,16,16,16
2009-01-31,24,24,24,24,24,24
2009-02-28,21,21,21,21,21,21
2009-03-31,11,11,11,11,11,11
2009-04-30,0,0,0,0,0,0
2009-05-31,0,0,0,0,0,0
2009-06-30,0,0,0,0,0,0
2009-07-31,0,0,0,0,0,0
2009-08-31,0,0,0,0,0,0
2009-09-30,0,0,0,0,0,0
2009-10-31,0,0,0,0,0,0
2009-11-30,3,3,3,3,3,3
2009-12-31,14,14,14,14,14,14
2010-01-31,29,29,29,29,29,29
2010-02-28,22,22,22,22,22,22
2010-03-31,15,15,15,15,15,15
2010-04-30,0,0,0,0,0,0
2010-05-31,0,0,0,0,0,0
2010-06-30,0,0,0,0,0,0
2010-07-31,0,0,0,0,0,0
2010-08-31,0,0,0,0,0,0
2010-09-30,0,0,0,0,0,0
2010-10-31,2,2,2,2,2,2
2010-11-30,4,4,4,4,4,4
2010-12-31,25,25,25,25,25,25
2011-01-31,21,21,21,21,21,21
2011-02-28,25,25,25,25,25,25
2011-03-31,14,14,14,14,14,14
2011-04-30,0,0,0,0,0,0
2011-05-31,0,0,0,0,0,0
2011-06-30,0,0,0,0,0,0
2011-07-31,0,0,0,0,0,0
2011-08-31,0,0,0,0,0,0
2011-09-30,0,0,0,0,0,0
2011-10-31,0,0,0,0,0,0
2011-11-30,17,17,17,17,17,17
2011-12-31,20,20,20,20,20,20
2012-01-31,27,27,27,27,27,27
2012-02-29,28,28,28,28,28,28
2012-03-31,8,8,8,8,8,8
2012-04-30,2,2,2,2,2,2
2012-05-31,0,0,0,0,0,0
2012-06-30,0,0,0,0,0,0
2012-07-31,0,0,0,0,0,0
2012-08-31,0,0,0,0,0,0
2012-09-30,0,0,0,0,0,0
2012-10-31,1,1,1,1,1,1
2012-11-30,0,0,0,0,0,0
2012-12-31,21,21,21,21,21,21
2013-01-31,27,27,27,27,27,27
2013-02-28,24,24,24,24,24,24
2013-03-31,18,18,18,18,18,18
2013-04-30,1,1,1,1,1,1
2013-05-31,0,0,0,0,0,0
2013-06-30,0,0,0,0,0,0
2013-07-31,0,0,0,0,0,0
2013-08-31,0,0,0,0,0,0
2013-09-30,0,0,0,0,0,0
2013-10-31,0,0,0,0,0,0
2013-11-30,4,4,4,4,4,4
2013-12-31,20,20,20,20,20,20
2014-01-31,8,8,8,8,8,8
2014-02-28,11,11,11,11,11,11
2014-03-31,0,0,0,0,0,0
2014-04-30,0,0,0,0,0,0
2014-05-31,0,0,0,0,0,0
2014-06-30,0,0,0,0,0,0
2014-07-31,0,0,0,0,0,0
2014-08-31,0,0,0,0,0,0
2014-09-30,0,0,0,0,0,0
2014-10-31,0,0,0,0,0,0
2014-11-30,0,0,0,0,0,0
2014-12-31,12,12,12,12,12,12
2015-01-31,17,17,17,17,17,17
2015-02-28,19,19,19,19,19,19
2015-03-31,6,6,6,6,6,6
2015-04-30,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0
2015-06-30,0,0,0,0,0,0
2015-07-31,0,0,0,0,0,0
2015-08-31,0,0,0,0,0,0
2015-09-30,0,0,0,0,0,0
2015-10-31,0,0,0,0,0,0
2015-11-30,7,7,7,7,7,7
2015-12-31,11,11,11,11,11,11
2016-01-31,23,23,23,23,23,23
2016-02-29,7,7,7,7,7,7
2016-03-31,6,6,6,6,6,6
2016-04-30,0,0,0,0,0,0
2016-05-31,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0
2016-07-31,0,0,0,0,0,0
2016-08-31,0,0,0,0,0,0
2016-09-30,0,0,0,0,0,0
2016-10-31,0,0,0,0,0,0
2016-11-30,6,6,6,6,6,6
2016-12-31,31,31,31,31,31,31
2017-01-31,31,31,31,31,31,31
2017-02-28,16,16,16,16,16,16
2017-03-31,5,5,5,5,5,5
2017-04-30,0,0,0,0,0,0
2017-05-31,0,0,0,0,0,0
2017-06-30,0,0,0,0,0,0
2017-07-31,0,0,0,0,0,0
2017-08-31,0,0,0,0,0,0
2017-09-30,0,0,0,0,0,0
2017-10-31,0,0,0,0,0,0
2017-11-30,4,4,4,4,4,4
2017-12-31,23,23,23,23,23,23
2018-01-31,15,15,15,15,15,15
2018-02-28,23,23,23,23,23,23
2018-03-31,16,16,16,16,16,16
2018-04-30,0,0,0,0,0,0
2018-05-31,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0
2018-07-31,0,0,0,0,0,0
2018-08-31,0,0,0,0,0,0
2018-09-30,0,0,0,0,0,0
2018-10-31,0,0,0,0,0,0
2018-11-30,3,3,3,3,3,3
2018-12-31,25,25,25,25,25,25
2019-01-31,29,29,29,29,29,29
2019-02-28,24,24,24,24,24,24
2019-03-31,5,5,5,5,5,5
2019-04-30,0,0,0,0,0,0
2019-05-31,0,0,0,0,0,0
2019-06-30,0,0,0,0,0,0
2019-07-31,0,0,0,0,0,0
2019-08-31,0,0,0,0,0,0
2019-09-30,0,0,0,0,0,0
2019-10-31,0,0,0,0,0,0
2019-11-30,0,0,0,0,0,0
2019-12-31,19,19,19,19,19,19
